Rk,Player,Pos,Age,PER
427,Dennis Smith\smithde03,PG,21,16.1
428,Ish Smith\smithis01,PG,30,8.9
429,J.R. Smith\smithjr01,SG,33,7.8
430,Jason Smith\smithja02,C-PF,32,10.5
430,Jason Smith\smithja02,C,32,11.7
430,Jason Smith\smithja02,PF,32,6.4
431,Tony Snell\snellto01,SG,27,11.4
432,Ray Spalding\spaldra01,PF,21,0
433,Omari Spellman\spellom01,PF,21,12.4
434,Nik Stauskas\stausni01,SG,25,10.3
434,Nik Stauskas\stausni01,SG,25,10.8
434,Nik Stauskas\stausni01,SG,25,1.4
435,D.J. Stephens\stephdj01,SG,28,5.6
436,Lance Stephenson\stephla01,SG,28,12.6
437,Edmond Sumner\sumneed01,PG,23,4.7
438,Caleb Swanigan\swanica01,PF,21,3.2
439,Jayson Tatum\tatumja01,SF,20,16.2
440,Jeff Teague\teaguje01,PG,30,15.9
441,Garrett Temple\templga01,SG,32,8.8
441,Garrett Temple\templga01,SG,32,8.8
441,Garrett Temple\templga01,SG,32,10.4
442,Milos Teodosic\teodomi01,PG,31,6.7
443,Jared Terrell\terreja01,SG,23,1.9
444,Emanuel Terry\terryem01,PF,22,20.1
445,Daniel Theis\theisda01,C,26,18.7
446,Isaiah Thomas\thomais02,PG,29,9.6
447,Khyri Thomas\thomakh01,SG,22,8.8
448,Lance Thomas\thomala01,PF,30,6.6
449,Klay Thompson\thompkl01,SG,28,16.7
450,Tristan Thompson\thomptr01,C,27,18.7
451,Sindarius Thornwell\thornsi01,SG,24,4
452,Anthony Tolliver\tollian01,PF,33,8.1
453,Karl-Anthony Towns\townska01,C,23,25.6
454,Gary Trent\trentga02,SG,20,1.9
455,Allonzo Trier\trieral01,SG,23,11.9
456,P.J. Tucker\tuckepj01,PF,33,9
457,Evan Turner\turneev01,PG,30,11.4
458,Myles Turner\turnemy01,C,22,18.9
459,Ekpe Udoh\udohek01,C,31,17.6
460,Tyler Ulis\ulisty01,PG,23,0
461,Jonas Valanciunas\valanjo01,C,26,24.9
461,Jonas Valanciunas\valanjo01,C,26,24.7
461,Jonas Valanciunas\valanjo01,C,26,27.5
462,Jarred Vanderbilt\vandeja01,PF,19,12.5
463,Fred VanVleet\vanvlfr01,PG,24,13.4
464,Noah Vonleh\vonleno01,PF,23,13.9
465,Nikola Vucevic\vucevni01,C,28,25.6
466,Dwyane Wade\wadedw01,SG,37,15.4
467,Moritz Wagner\wagnemo01,C,21,12.9
468,Dion Waiters\waitedi01,SG,27,11.4
469,Kemba Walker\walkeke02,PG,28,21.5
470,Lonnie Walker\walkelo01,SG,20,0.6
471,John Wall\walljo01,PG,28,18.1
472,Tyrone Wallace\wallaty01,PG,24,8.2
473,Taurean Waller-Prince\princta02,SF,24,11.8
474,Brad Wanamaker\wanambr01,PG,29,14.1
475,T.J. Warren\warretj01,SF,25,16.5
476,Julian Washburn\washbju01,SF,27,1.6
477,Yuta Watanabe\watanyu01,SG,24,7.1
478,Thomas Welsh\welshth01,C,22,13.7
479,Russell Westbrook\westbru01,PG,30,20.6
480,Derrick White\whitede01,PG,24,14.6
481,Okaro White\whiteok01,PF,26,-4.5
482,Hassan Whiteside\whiteha01,C,29,21.9
483,Andrew Wiggins\wiggian01,SF,23,12.1
484,Alan Williams\willial03,PF,26,25.1
485,C.J. Williams\willicj01,SG,28,2.1
486,Johnathan Williams\willijo04,C,23,10.3
487,Kenrich Williams\willike04,SF,24,10.9
488,Lou Williams\willilo02,SG,32,21.9
489,Marvin Williams\willima02,PF,32,13
490,Robert Williams\williro04,C,21,20.1
491,Troy Williams\willitr02,SF,24,11.2
492,D.J. Wilson\wilsodj01,PF,22,10.5
493,Justise Winslow\winslju01,PF,22,12.3
494,Christian Wood\woodch01,PF,23,19.1
495,Delon Wright\wrighde01,PG,26,14.4
495,Delon Wright\wrighde01,PG,26,14.6
495,Delon Wright\wrighde01,PG,26,12.1
496,Guerschon Yabusele\yabusgu01,PF,23,11.4
497,Nick Young\youngni01,SG,33,2.4
498,Thaddeus Young\youngth01,PF,30,16.6
499,Trae Young\youngtr01,PG,20,14.5
500,Cody Zeller\zelleco01,C,26,17.2
501,Ante Zizic\zizican01,C,22,16.1
502,Ivica Zubac\zubaciv01,C,21,19.1
502,Ivica Zubac\zubaciv01,C,21,19.7
502,Ivica Zubac\zubaciv01,C,21,14.6
